1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,
Malta,<500,[<500 - <500],<500,[<200 - <500],<500,[<500 - <500],<500,[<200 - <500],0.1, [0.1 - 0.1],0.1, [0.1 - 0.1],<100,[<100 - <200],<100,[<100 - <100],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - 0.1],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<100 - <100],...,[<100 - <100],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,...,...,...,...,...,...,
Netherlands,22 000,[17 000 - 32 000],18 000,[14 000 - 24 000],22 000,[17 000 - 32 000],18 000,[14 000 - 24 000],0.2, [0.1 - 0.3],0.2, [0.1 - 0.3],6900,[5200 - 9700],5400,[4200 - 7400],...,...,...,...,<0.1, [<0.1 - 0.1],0.1, [<0.1 - 0.3],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<500 - 1100],...,[<500 - 1100],<100,[<100 - <500],<100,[<100 - <100],...,...,...,...,...,...,...,...,...,...,
Norway,4000,[3000 - 5400],3000,[2300 - 4100],4000,[3000 - 5400],3000,[2300 - 4100],0.1, [0.1 - 0.2],0.1, [0.1 - 0.2],1200,[<1000 - 1600],<1000,[<1000 - 1200],...,...,...,...,<0.1, [<0.1 - 0.1],<0.1, [<0.1 - 0.2],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<100 - <500],...,[<100 - <500],<100,[<100 - <200],<100,[<100 - <100],...,...,...,...,...,...,...,...,...,...,
Poland,27 000,[20 000 - 34 000],21 000,[16 000 - 28 000],27 000,[20 000 - 34 000],21 000,[16 000 - 28 000],0.1, [0.1 - 0.1],0.1, [0.1 - 0.1],8200,[6200 - 11 000],6400,[4800 - 8500],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - 0.1],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<500 - 1300],...,[<500 - 1300],<200,[<100 - <1000],<100,[<100 - <200],...,...,...,...,…,...,...,...,…,...,
Portugal,42 000,[32 000 - 53 000],31 000,[24 000 - 41 000],42 000,[32 000 - 53 000],31 000,[24 000 - 41 000],0.6, [0.4 - 0.7],0.5, [0.4 - 0.6],13 000,[9900 - 16 000],9400,[7300 - 12 000],...,...,...,...,0.2, [0.1 - 0.4],0.3, [0.1 - 0.9],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<1000 - 2300],...,[<1000 - 2300],<500,[<100 - 1300],<500,[<500 - <500],...,...,...,...,2008,14.0,...,...,...,...,
Romania,16 000,[12 000 - 20 000],16 000,[12 000 - 20 000],15 000,[11 000 - 20 000],16 000,[12 000 - 20 000],0.1, [0.1 - 0.1],0.1, [0.1 - 0.2],4700,[3500 - 5900],4600,[3600 - 5900],...,...,...,...,<0.1, [<0.1 - 0.1],0.1, [<0.1 - 0.2],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<500 - 1000],...,[<500 - 1000],<1000,[<500 - 1200],<500,[<200 - <1000],...,...,...,...,2009,1.1,2009,1.0,2009,4.4,
Serbia,4900,[3500 - 7100],1900,[<500 - 2800],4900,[3400 - 7100],1900,[<500 - 2700],0.1, [0.1 - 0.2],<0.1, [<0.1 - 0.1],1200,[<1000 - 1600],<500,[<100 - <1000],...,...,...,...,0.1, [<0.1 - 0.1],0.1, [0.1 - 0.2],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<500 - <1000],...,[<500 - <1000],<200,[<100 - <500],<500,[<100 - <500],...,...,...,...,2008,4.8,…,...,2008,6.1,
Slovakia,<500,[<500 - <500],<200,[<200 - <500],<500,[<500 - <500],<200,[<200 - <500],<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],<100,[<100 - <200],<100,[<100 - <100],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<100 - <100],...,[<100 - <100],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,...,...,...,...,...,...,
Slovenia,<1000,[<500 - <1000],<500,[<200 - <500],<1000,[<500 - <1000],<500,[<200 - <500],<0.1, [<0.1 - 0.1],<0.1, [<0.1 - <0.1],<200,[<200 - <500],<100,[<100 - <100],...,...,...,...,<0.1, [<0.1 - 0.1],<0.1, [<0.1 - 0.1],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<100 - <200],...,[<100 - <200],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,...,...,...,...,2009,1.6,
Spain,130 000,[120 000 - 150 000],120 000,[100 000 - 130 000],130 000,[120 000 - 150 000],110 000,[100 000 - 130 000],0.4, [0.3 - 0.4],0.4, [0.4 - 0.5],32 000,[27 000 - 36 000],28 000,[23 000 - 32 000],...,...,...,...,0.1, [0.1 - 0.1],0.2, [0.1 - 0.2],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[2200 - 4100],...,[2200 - 4100],1600,[1200 - 2000],1800,[1500 - 2100],...,...,...,...,2008,19.5,2008,0.9,2008,10.2,
Sweden,8100,[6100 - 11 000],6300,[4900 - 8700],8100,[6100 - 11 000],6300,[4900 - 8700],0.1, [0.1 - 0.2],0.1, [0.1 - 0.2],2500,[1900 - 3400],1900,[1500 - 2700],...,...,...,...,<0.1, [<0.1 - 0.1],<0.1, [<0.1 - 0.2],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<100 - <500],...,[<100 - <500],<100,[<100 - <500],<100,[<100 - <100],...,...,...,...,…,...,…,...,…,...,
Switzerland,18 000,[13 000 - 24 000],13 000,[9500 - 17 000],18 000,[13 000 - 24 000],13 000,[9500 - 17 000],0.4, [0.3 - 0.5],0.3, [0.2 - 0.4],5700,[4100 - 7500],4000,[3000 - 5200],...,...,...,...,0.1, [0.1 - 0.2],0.2, [0.1 - 0.6],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<500 - 1000],...,[<500 - 1000],<100,[<100 - <500],<200,[<100 - <500],...,...,...,...,2006,10.9,…,...,2007,8.1,
Turkey,4600,[3400 - 6100],1700,[1300 - 2300],4500,[3300 - 6100],1700,[1300 - 2300],<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],1400,[1000 - 1800],<1000,[<500 - <1000],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[<500 - <1000],...,[<500 - <1000],<200,[<100 - <500],<100,[<100 - <200],...,...,...,...,...,...,…,...,...,...,
United Kingdom,85 000,[66 000 - 110 000],43 000,[35 000 - 54 000],85 000,[66 000 - 110 000],43 000,[35 000 - 53 000],0.2, [0.2 - 0.3],0.1, [0.1 - 0.2],26 000,[20 000 - 32 000],13 000,[10 000 - 16 000],...,...,...,...,0.1, [<0.1 - 0.2],0.2, [0.1 - 0.6],..., [<0.10 - <0.10],..., [<0.10 - <0.10],...,[1500 - 6000],...,[<100 - <100],<1000,[<500 - 1600],<500,[<200 - <500],...,...,...,...,...,...,...,...,...,...,
Algeria,18 000,[13 000 - 24 000],6800,[4900 - 9000],17 000,[12 000 - 24 000],6700,[4800 - 9000],0.1, [0.1 - 0.1],<0.1, [<0.1 - <0.1],5200,[3700 - 7200],2000,[1500 - 2600],...,...,...,...,<0.1, [<0.1 - 0.1],0.1, [<0.1 - 0.2],…, [<0.10 - <0.10],…, [<0.10 - <0.10],…,[1100 - 3700],…,[1000 - 3600],<1000,[<1000 - 1100],<500,[<200 - <500],...,...,...,...,...,...,...,...,...,...,
Djibouti,14 000,[10 000 - 18 000],12 000,[9000 - 16 000],13 000,[9400 - 16 000],11 000,[8600 - 15 000],2.5, [1.9 - 3.2],2.9, [2.2 - 3.9],7400,[5300 - 9500],6600,[5000 - 9000],...,...,...,...,1.9, [1.0 - 2.9],0.8, [0.4 - 1.3],0.25, [0.10 - 0.34],0.29, [0.18 - 0.51],1300,[<1000 - 1800],1100,[<500 - 1500],1000,[<1000 - 1400],<1000,[<500 - 1400],...,...,...,...,...,...,2008,20.3,...,...,
Egypt,11 000,[8400 - 17 000],3300,[2900 - 5300],10 000,[8100 - 16 000],3200,[2900 - 5300],<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],2400,[2500 - 4900],<1000,[<1000 - 1600],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],…, [<0.10 - <0.10],…, [<0.10 - <0.10],…,[<1000 - 2900],…,[<1000 - 2700],<500,[<500 - <1000],<200,[<100 - <500],...,...,...,...,…,...,2006,0.9,2006,5.6,
Iran (Islamic Republic of),92 000,[74 000 - 120 000],54 000,[45 000 - 65 000],91 000,[72 000 - 110 000],54 000,[44 000 - 64 000],0.2, [0.1 - 0.2],0.1, [0.1 - 0.1],26 000,[20 000 - 33 000],15 000,[12 000 - 18 000],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],…, [<0.10 - <0.10],…, [<0.10 - <0.10],…,[5600 - 11 000],…,[5400 - 11 000],6400,[5200 - 8000],2000,[1600 - 2600],...,...,...,...,...,...,...,...,...,...,
Lebanon,3600,[2700 - 4800],3800,[2900 - 5100],3400,[2600 - 4600],3700,[2800 - 5000],0.1, [0.1 - 0.2],0.2, [0.1 - 0.2],1100,[<1000 - 1400],1100,[<1000 - 1500],...,...,...,...,<0.1, [<0.1 - 0.1],0.1, [<0.1 - 0.1],…, [<0.10 - <0.10],…, [<0.10 - <0.10],…,[<100 - <500],…,[<100 - <500],<500,[<500 - <500],<500,[<200 - <500],...,...,...,...,…,...,…,...,2008,1.0,
Morocco,26 000,[19 000 - 34 000],14 000,[11 000 - 18 000],25 000,[19 000 - 33 000],14 000,[10 000 - 18 000],0.1, [0.1 - 0.2],0.1, [0.1 - 0.1],8100,[6000 - 11 000],4300,[3300 - 5600],...,...,...,...,0.1, [<0.1 - 0.1],0.1, [<0.1 - 0.3],…, [<0.10 - <0.10],…, [<0.10 - <0.10],…,[1200 - 5800],…,[<100 - <100],1200,[<1000 - 1600],<1000,[<1000 - 1000],...,...,...,...,2009,2.1,2009,2.4,...,...,
Oman,1100,[<1000 - 1400],<500,[<500 - <1000],1100,[<1000 - 1400],<500,[<500 - <500],0.1, [<0.1 - 0.1],<0.1, [<0.1 - <0.1],<500,[<500 - <500],<200,[<200 - <200],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],…, [<0.10 - <0.10],…, [<0.10 - <0.10],…,[<200 - <500],…,[<200 - <500],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,...,...,...,...,...,...,
Qatar,<200,[<100 - <200],<100,[<100 - <100],<200,[<100 - <200],<100,[<100 - <100],<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - <0.1],…, [<0.10 - <0.10],…, [<0.10 - <0.10],…,[<100 - <100],…,[<100 - <100],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,...,...,...,...,...,...,
Somalia,34 000,[25 000 - 48 000],11 000,[<500 - 14 000],32 000,[23 000 - 46 000],10 000,[<500 - 13 000],0.7, [0.5 - 1.0],0.3, [<0.1 - 0.3],15 000,[11 000 - 21 000],4700,[<200 - 6300],...,...,...,...,0.6, [0.4 - 1.1],0.4, [0.3 - 0.7],…, [<0.10 - 0.29],…, [<0.10 - <0.10],…,[4200 - 13 000],…,[3700 - 11 000],1600,[1200 - 2300],<1000,[<100 - <1000],...,...,...,...,...,...,2008,5.5,...,...,
Sudan,260 000,[210 000 - 330 000],72 000,[35 000 - 98 000],250 000,[200 000 - 310 000],68 000,[34 000 - 89 000],1.1, [0.9 - 1.4],0.4, [0.2 - 0.5],140 000,[110 000 - 180 000],39 000,[20 000 - 53 000],...,...,...,...,1.3, [0.9 - 1.8],0.5, [0.4 - 0.7],…, [0.17 - 0.35],…, [<0.10 - 0.10],…,[38 000 - 74 000],…,[34 000 - 67 000],12 000,[9200 - 15 000],3500,[<1000 - 6700],...,...,...,...,...,...,2008,0.9,...,...,
Tunisia,2400,[1800 - 3300],<1000,[<500 - 1000],2400,[1700 - 3300],<1000,[<500 - 1000],<0.1, [<0.1 - 0.1],<0.1, [<0.1 - <0.1],<1000,[<1000 - 1000],<500,[<100 - <500],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - 0.1],…, [<0.10 - <0.10],…, [<0.10 - <0.10],…,[<500 - <1000],…,[<500 - <1000],<100,[<100 - <200],<100,[<100 - <100],...,...,...,...,2009,3.1,2009,0.4,2009,4.8,
Canada,67 000,[56 000 -  78 000],48 000,[39 000 -  57 000],67 000,[56 000 -  78 000],48 000,[39 000 -  57 000],0.2, [0.1 - 0.3],0.2, [0.1 - 0.3],14 000,[12 000 -  16 000],9 000,[7 000 -  11 000],...,...,...,...,0.1, [<0.1 - 0.2],0.1, [<0.1 - 0.5],…, [<0.10 - <0.10],…, [<0.10 - <0.10],…,[2 300 - 4 300],…,[<1000 - 3800],<500,[<500 - <1000],<500,[<500 - <1000],...,...,...,...,2008,12.7,...,...,2008,14.7,
Mexico,220 000,[180 000 - 280 000],180 000,[150 000 - 210 000],220 000,[180 000 - 270 000],180 000,[150 000 - 210 000],0.3, [0.3 - 0.4],0.3, [0.2 - 0.4],59 000,[47 000 - 75 000],41 000,[33 000 - 49 000],...,...,...,...,0.1, [0.1 - 0.2],0.2, [0.1 - 0.2],…, [<0.10 - <0.10],…, [<0.10 - <0.10],…,[8800 - 21 000],…,[8300 - 20 000],…,[6400 - 12 000],…,[9800 - 15 000],...,...,...,...,2009,5.0,2009,0.9,2009,10.2,
United States of America,1 200 000,[930 000 - 1 700 000],940 000,[730 000 - 1 200 000],1 200 000,[930 000 - 1 700 000],930 000,[730 000 - 1 200 000],0.6, [0.4 - 0.8],0.5, [0.4 - 0.7],310 000,[220 000 - 430 000],210 000,[160 000 - 270 000],...,...,...,...,0.2, [0.1 - 0.3],0.3, [0.2 - 0.5],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],54 000,[24 000 - 110 000],54 000,[24 000 - 110 000],17 000,[13 000 - 36 000],17 000,[14 000 - 23 000],...,...,...,...,...,...,...,...,...,...,
Bahamas,6600,[2600 - 11 000],5900,[3900 - 8500],6100,[2400 - 11 000],5400,[3400 - 7600],3.1, [1.2 - 5.4],3.1, [1.9 - 4.4],3700,[1500 - 6400],3300,[2100 - 4600],...,...,...,...,3.1, [0.8 - 6.6],1.4, [0.5 - 2.8],…, [<0.10 - 0.62],…, [<0.10 - 0.43],…,[<200 - 1200],…,[<100 - 1100],<500,[<200 - <1000],<1000,[<500 - <1000],...,...,...,...,...,...,...,...,2009,25.6,
Barbados,2100,[1800 - 2500],<1000,[<1000 - 1000],2100,[1800 - 2500],<1000,[<1000 - 1000],1.4, [1.2 - 1.6],0.5, [0.4 - 0.6],<1000,[<1000 - <1000],<500,[<500 - <500],...,...,...,...,1.1, [0.8 - 1.4],0.9, [0.7 - 1.1],…, [<0.10 - 0.16],…, [<0.10 - 0.13],…,[<200 - <500],…,[<200 - <500],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,...,...,...,...,...,...,
Cuba,7100,[5700 - 8900],2600,[1900 - 3400],7000,[5600 - 8800],2600,[1900 - 3400],0.1, [0.1 - 0.1],<0.1, [<0.1 - 0.1],2200,[1700 - 2700],<1000,[<1000 - 1000],...,...,...,...,0.1, [<0.1 - 0.1],0.1, [<0.1 - 0.3],…, [<0.10 - <0.10],…, [<0.10 - <0.10],…,[<500 - <1000],…,[<500 - <1000],<100,[<100 - <500],<200,[<100 - <200],...,...,...,...,...,...,2009,0.1,2009,0.7,
Dominican Republic,57 000,[49 000 - 66 000],54 000,[45 000 - 65 000],54 000,[45 000 - 62 000],50 000,[43 000 - 60 000],0.9, [0.7 - 1.0],0.9, [0.8 - 1.1],32 000,[26 000 - 37 000],29 000,[24 000 - 35 000],...,...,...,...,0.7, [0.4 - 0.9],0.3, [0.1 - 0.4],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - 0.10],3600,[1600 - 5000],3200,[1300 - 4400],2300,[1300 - 3400],3900,[2900 - 5500],...,...,...,...,...,...,2008,4.8,2004,10.7,
Haiti,120 000,[110 000 - 140 000],130 000,[110 000 - 160 000],110 000,[95 000 - 130 000],120 000,[100 000 - 140 000],1.9, [1.7 - 2.2],2.6, [2.3 - 3.0],67 000,[56 000 - 78 000],73 000,[61 000 - 87 000],12 000,[5700 - 18 000],12 000,[6300 - 19 000],1.3, [1.0 - 1.8],0.6, [0.4 - 0.8],0.15, [0.10 - 0.19],0.19, [0.15 - 0.23],8800,[6500 - 11 000],7600,[5400 - 10 000],7100,[5200 - 9400],12 000,[9200 - 14 000],...,...,...,...,...,...,2009,5.3,...,...,
Jamaica,32 000,[21 000 - 45 000],32 000,[23 000 - 41 000],31 000,[20 000 - 43 000],31 000,[22 000 - 39 000],1.7, [1.1 - 2.5],1.9, [1.3 - 2.4],10 000,[6700 - 14 000],9900,[7300 - 13 000],...,...,...,...,0.7, [0.3 - 1.4],1.0, [0.4 - 3.1],0.13, [<0.10 - 0.27],0.19, [0.10 - 0.25],2100,[<1000 - 4200],2000,[<1000 - 4000],1200,[<500 - 2100],2700,[2100 - 3500],...,...,...,...,...,...,2009,4.9,2007,31.8,
Trinidad and Tobago,15 000,[11 000 - 19 000],10 000,[7900 - 14 000],14 000,[11 000 - 19 000],10 000,[7800 - 14 000],1.5, [1.1 - 2.0],1.2, [0.9 - 1.6],4700,[3500 - 6100],3300,[2600 - 4300],...,...,...,...,0.7, [0.3 - 1.2],1.0, [0.4 - 3.3],…, [<0.10 - 0.21],…, [0.10 - 0.19],…,[<1000 - 1800],…,[<1000 - 1700],<1000,[<500 - <1000],<1000,[<500 - <1000],...,...,...,...,...,...,...,...,...,...,
Argentina,110 000,[88 000 - 140 000],80 000,[66 000 - 99 000],110 000,[87 000 - 140 000],79 000,[65 000 - 97 000],0.5, [0.3 - 0.6],0.4, [0.3 - 0.5],36 000,[28 000 - 45 000],25 000,[20 000 - 30 000],...,...,...,...,0.2, [0.1 - 0.3],0.3, [0.1 - 0.8],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],7500,[4100 - 11 000],7400,[4100 - 11 000],2900,[1600 - 4500],2800,[1600 - 4100],...,...,...,...,2008,11.9,2008,1.9,2008,11.8,
Belize,4800,[4000 - 5700],3600,[3000 - 4200],4400,[3600 - 5300],3300,[2800 - 3800],2.3, [2.0 - 2.8],2.2, [1.9 - 2.6],2600,[2100 - 3100],1900,[1600 - 2200],...,...,...,...,1.8, [1.4 - 2.7],0.7, [0.5 - 1.1],0.20, [0.13 - 0.32],0.30, [0.23 - 0.35],<500,[<500 - <1000],<500,[<500 - <1000],<500,[<500 - <500],<500,[<200 - <500],...,...,...,...,...,...,...,...,...,...,
Bolivia,12 000,[9000 - 16 000],12 000,[9100 - 16 000],11 000,[8400 - 15 000],11 000,[8600 - 15 000],0.2, [0.1 - 0.3],0.2, [0.2 - 0.3],3600,[2700 - 4800],3500,[2700 - 4600],...,...,...,...,0.1, [<0.1 - 0.1],0.1, [<0.1 - 0.3],…, [<0.10 - <0.10],…, [<0.10 - <0.10],…,[<1000 - 1600],…,[<500 - 1500],<1000,[<1000 - 1200],<1000,[<1000 - 1100],...,...,...,...,...,...,...,...,2008,11.6,
Brazil,...,[460 000 - 810 000],...,[380 000 - 560 000],...,[450 000 - 800 000],...,[360 000 - 550 000],..., [0.3 - 0.6],..., [0.3 - 0.5],...,[180 000 - 330 000],...,[140 000 - 210 000],...,...,...,...,..., [0.1 - 0.4],..., [0.1 - 0.3],..., [<0.10 - <0.10],…, [<0.10 - <0.10],...,[18 000 - 70 000],...,[17 000 - 69 000],...,[2000 - 25 000],...,[7200 - 24 000],...,...,...,...,2009,5.9,...,...,2009,12.6,
Chile,40 000,[32 000 - 51 000],24 000,[19 000 - 31 000],39 000,[31 000 - 50 000],24 000,[18 000 - 30 000],0.4, [0.3 - 0.5],0.3, [0.2 - 0.3],12 000,[9700 - 15 000],7200,[5500 - 9300],...,...,...,...,0.1, [0.1 - 0.3],0.2, [0.1 - 0.7],..., [<0.10 - <0.10],…, [<0.10 - <0.10],...,[1400 - 4300],...,[1200 - 4000],…,[<1000 - 2200],…,[<500 - 1200],...,...,...,...,...,...,...,...,2009,20.3,
Colombia,160 000,[120 000 - 210 000],210 000,[170 000 - 260 000],150 000,[120 000 - 200 000],210 000,[160 000 - 260 000],0.5, [0.4 - 0.7],0.8, [0.7 - 1.1],50 000,[38 000 - 65 000],65 000,[51 000 - 80 000],...,...,...,...,0.1, [0.1 - 0.3],0.2, [0.1 - 0.7],..., [<0.10 - <0.10],…, [<0.10 - <0.10],...,[2800 - 16 000],...,[2300 - 16 000],14 000,[11 000 - 18 000],13 000,[9800 - 17 000],...,...,...,...,...,...,2008,1.6,...,...,
Costa Rica,9800,[7500 - 13 000],4400,[3400 - 5900],9600,[7300 - 12 000],4400,[3300 - 5800],0.3, [0.2 - 0.4],0.2, [0.1 - 0.2],2800,[2100 - 3600],1300,[<1000 - 1700],...,...,...,...,0.1, [0.1 - 0.2],0.2, [0.1 - 0.3],..., [<0.10 - <0.10],…, [<0.10 - <0.10],...,[<500 - 1100],...,[<500 - 1000],<500,[<100 - <1000],<100,[<100 - <200],...,...,...,...,...,...,...,...,2009,12.7,
Ecuador,37 000,[28 000 - 50 000],36 000,[27 000 - 47 000],36 000,[27 000 - 49 000],35 000,[26 000 - 46 000],0.4, [0.3 - 0.6],0.5, [0.4 - 0.6],11 000,[8400 - 15 000],11 000,[8200 - 14 000],...,...,...,...,0.2, [0.1 - 0.3],0.2, [0.1 - 0.8],..., [<0.10 - <0.10],…, [<0.10 - <0.10],...,[1100 - 6200],...,[<100 - <100],2200,[1300 - 3300],2800,[2100 - 3700],...,...,...,...,...,...,...,...,...,...,
El Salvador,34 000,[25 000 - 44 000],25 000,[19 000 - 33 000],32 000,[24 000 - 42 000],24 000,[18 000 - 32 000],0.8, [0.6 - 1.1],0.8, [0.6 - 1.0],11 000,[8500 - 14 000],8000,[6000 - 11 000],...,...,...,...,0.3, [0.1 - 0.5],0.4, [0.2 - 1.3],..., [<0.10 - 0.11],…, [<0.10 - 0.14],...,[1200 - 4000],...,[1000 - 3800],1400,[<1000 - 2100],<1000,[<200 - 1100],...,...,...,...,...,...,2009,4.1,2009,9.8,
Guatemala,62 000,[47 000 - 82 000],31 000,[23 000 - 41 000],60 000,[45 000 - 79 000],30 000,[22 000 - 40 000],0.8, [0.6 - 1.0],0.5, [0.4 - 0.7],20 000,[15 000 - 26 000],9600,[7200 - 13 000],...,...,...,...,0.3, [0.2 - 0.6],0.5, [0.2 - 1.4],..., [<0.10 - 0.15],…, [<0.10 - 0.12],...,[3600 - 11 000],...,[3200 - 10 000],2600,[1600 - 3700],1500,[1000 - 2100],...,...,...,...,...,...,2006,1.0,2006,18.3,
Guyana,5900,[2700 - 8800],7800,[5300 - 12 000],5500,[2400 - 8200],7000,[4600 - 11 000],1.2, [0.5 - 1.9],1.4, [0.9 - 2.2],2800,[1100 - 4200],3800,[2400 - 5700],...,...,...,...,0.8, [0.2 - 1.5],0.6, [0.2 - 1.0],..., [<0.10 - 0.17],…, [<0.10 - <0.10],...,[<100 - <1000],...,[<100 - <1000],<500,[<100 - <1000],<1000,[<1000 - 1300],...,...,...,...,...,...,2009,16.6,2009,19.4,
Honduras,39 000,[26 000 - 51 000],44 000,[33 000 - 61 000],37 000,[24 000 - 49 000],42 000,[31 000 - 57 000],0.8, [0.5 - 1.0],1.2, [0.9 - 1.6],12 000,[7900 - 16 000],13 000,[9700 - 18 000],...,...,...,...,0.2, [0.1 - 0.4],0.3, [0.1 - 1.1],..., [<0.10 - <0.10],…, [<0.10 - 0.13],...,[<1000 - 3700],...,[<1000 - 3400],2500,[1700 - 3400],3700,[2800 - 5000],...,...,...,...,...,...,2006,2.3,2006,6.6,
Nicaragua,6900,[5200 - 9100],3700,[2900 - 4800],6700,[5000 - 8900],3600,[2800 - 4700],0.2, [0.1 - 0.3],0.1, [0.1 - 0.2],2100,[1600 - 2800],1100,[<1000 - 1400],...,...,...,...,0.1, [0.1 - 0.1],0.1, [0.1 - 0.2],..., [<0.10 - <0.10],…, [<0.10 - <0.10],...,[<500 - 1300],...,[<500 - 1300],<500,[<200 - <500],<200,[<200 - <500],...,...,...,...,...,...,...,...,2009,4.2,
Panama,20 000,[14 000 - 36 000],26 000,[17 000 - 50 000],20 000,[13 000 - 36 000],25 000,[16 000 - 49 000],0.9, [0.6 - 1.5],1.4, [0.9 - 2.7],6300,[4200 - 11 000],7600,[4900 - 15 000],...,...,...,...,0.3, [0.1 - 0.5],0.4, [0.2 - 1.3],..., [<0.10 - 0.11],…, [<0.10 - 0.14],...,[<1000 - 2200],...,[<1000 - 2100],1500,[<1000 - 3600],1600,[<1000 - 3200],...,...,...,...,...,...,...,...,...,...,
Paraguay,13 000,[9800 - 16 000],9200,[7200 - 13 000],12 000,[9600 - 16 000],9000,[7000 - 12 000],0.3, [0.2 - 0.4],0.3, [0.2 - 0.4],3800,[2900 - 4800],2700,[2100 - 3700],...,...,...,...,0.1, [0.1 - 0.2],0.2, [0.1 - 0.6],..., [<0.10 - <0.10],…, [<0.10 - <0.10],...,[<1000 - 1600],...,[<1000 - 1600],…,[<500 - <1000],…,[<500 - <1000],...,...,...,...,...,...,2008,1.8,2008,9.6,
Peru,75 000,[58 000 - 100 000],82 000,[65 000 - 100 000],73 000,[56 000 - 98 000],81 000,[64 000 - 99 000],0.4, [0.3 - 0.5],0.5, [0.4 - 0.6],18 000,[14 000 - 25 000],15 000,[12 000 - 19 000],...,...,...,...,0.1, [0.1 - 0.2],0.2, [0.1 - 0.3],..., [<0.10 - <0.10],…, [<0.10 - <0.10],…,[2300 - 6700],...,[2100 - 6300],5000,[3800 - 6600],6300,[5200 - 7900],...,...,...,...,...,...,...,...,2009,10.1,
Suriname,3700,[2700 - 5300],3300,[2300 - 4500],3600,[2700 - 5100],3200,[2300 - 4400],1.0, [0.7 - 1.4],1.0, [0.7 - 1.4],1100,[<1000 - 1600],<1000,[<1000 - 1300],...,...,...,...,0.4, [0.2 - 0.7],0.6, [0.2 - 2.0],<0.10, [<0.10 - <0.10],0.11, [<0.10 - 0.16],<500,[<100 - <500],<200,[<100 - <500],<200,[<200 - <500],<500,[<200 - <500],...,...,...,...,...,...,...,...,...,...,
Uruguay,9900,[8400 - 12 000],7000,[5900 - 8200],9600,[8100 - 11 000],6800,[5800 - 8000],0.5, [0.4 - 0.6],0.4, [0.3 - 0.4],3100,[2600 - 3600],2100,[1800 - 2500],...,...,...,...,0.2, [0.1 - 0.3],0.3, [0.1 - 1.0],…, [<0.10 - <0.10],…, [<0.10 - <0.10],…,[<500 - <1000],…,[<500 - <1000],…,…,…,…,...,...,...,...,...,...,…,...,2008,9.1,
Venezuela,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,
